Author;Year;CC;CF;CE;CU;FF;FE;FU;EE;EU;UU
Yigitoglu et al.;2017;n;n;n;n;n;n;n;n;n;n
Brogi and Forti;2017;n;x (S--RB) ;n;n;x (S--RB) ;n;n;n;n;n
Brogi et al.;2017;x (S--RB) ;| (S--RB) ;n;n;x (S--RB) ;n;n;n;n;n
Skarlat et al.;2017;n;o (S--E-) ;n;n;o (S--E-) ;n;n;n;n;n
Souza et al.;2016;n;n;n;n;n;n;n;n;n;n
Xia et al.;2018;n;n;o (S--RB) ;n;n;n;n;x (S--RB) ;o (S--RB) ;n
Velasquez et al.;2017;n;n;n;n;n;n;n;n;n;n
Amarasinghe et al.;2018;x (S--EB) ;n;x (S--EB) ;n;n;n;n;x (S--EB) ;n;n
Benamer et al.;2018;n;o (S--E-) ;n;n;o (S--E-) ;n;o (S--E-) ;n;n;n
Lera et al.;2019;n;n;n;n;n;n;n;n;n;n
Naas et al.;2018;n;n;n;n;n;n;n;n;n;n
Naas et al.;2017;n;n;n;n;n;n;n;n;n;n
Ouyang et al.;2017;n;n;n;n;n;n;n;n;n;n
De Maio and Brandic;2018;n;n;n;n;n;n;n;n;n;n
Gargees et al.;2016;n;n;n;n;n;n;n;n;n;n
Hong et al.;2017;n;n;n;n;n;n;n;n;n;n
Venticinque and Amato;2019;n;n;n;n;n;n;n;n;n;n
Faticanti et al.;2019;n;n;n;n;n;n;n;n;n;n
Guerrero et al.;2019;n;n;n;n;n;n;n;n;n;n
Faticanti et al.;2020;n;n;n;n;n;n;n;n;n;n
Faticanti et al. ;2020a;n;n;n;n;n;n;n;n;n;n
Armani et al.;2021;n;n;n;n;n;n;n;n;n;n
Alencar et al.;2022;n;n;n;n;n;n;n;n;n;n
Fu et al.;2021;n;n;n;n;n;n;n;n;n;n
Lv et al.;2022;n;n;n;n;n;n;n;n;n;n
Kaur et al.;2022;n;n;n;n;n;n;n;n;n;n
Mehran et al.;2022;n;n;n;n;n;n;n;n;n;n
